epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.158,2.23804,4.05344,2.03871,0.47689,0.39326,0.36041,0.11583,2.31107,3.40967,2.27686,0.00066365,0.00066365,0.00066365
2,162.013,2.17224,2.74507,1.95177,0.48305,0.49137,0.39289,0.15293,2.12764,2.69265,2.0447,0.00131715,0.00131715,0.00131715
3,236.576,2.13245,2.37835,1.98405,0.64871,0.51236,0.51112,0.20967,2.10612,2.1211,1.95562,0.00195744,0.00195744,0.00195744
4,311.778,2.10371,2.30134,1.96834,0.73265,0.60225,0.59416,0.23259,2.166,2.19767,2.01042,0.0019406,0.0019406,0.0019406
5,390.3,2.05019,2.19926,1.9163,0.68144,0.60569,0.58461,0.2438,1.85885,1.82631,1.80418,0.0019208,0.0019208,0.0019208
6,476.587,2.01623,2.08795,1.88406,0.64774,0.51461,0.54016,0.20025,2.02545,2.10705,1.82538,0.001901,0.001901,0.001901
7,551.577,1.98014,2.04319,1.84695,0.72253,0.59775,0.60319,0.27923,1.90782,1.80815,1.79539,0.0018812,0.0018812,0.0018812
8,634.01,1.94847,1.99659,1.8248,0.81906,0.62472,0.66357,0.31073,1.86707,1.65074,1.74252,0.0018614,0.0018614,0.0018614
9,724.873,1.93793,1.95555,1.82389,0.78687,0.58904,0.6152,0.21862,2.24995,1.83708,1.92261,0.0018416,0.0018416,0.0018416
10,806.338,1.93554,1.98991,1.83445,0.79958,0.62472,0.65613,0.32707,1.85137,1.67932,1.71749,0.0018218,0.0018218,0.0018218
11,885.614,1.89707,1.89001,1.79738,0.65369,0.49213,0.45782,0.14041,2.52847,2.12022,2.22764,0.001802,0.001802,0.001802
12,964.325,1.86943,1.88264,1.77978,0.83902,0.6382,0.6858,0.35708,1.79901,1.55146,1.69737,0.0017822,0.0017822,0.0017822
13,1043.08,1.86388,1.83667,1.77672,0.84536,0.65107,0.68057,0.27537,2.08276,1.64464,1.82562,0.0017624,0.0017624,0.0017624
14,1119.51,1.84702,1.80665,1.75843,0.82457,0.64944,0.68766,0.30711,1.94055,1.56067,1.72586,0.0017426,0.0017426,0.0017426
15,1197.51,1.84689,1.81896,1.75273,0.86652,0.67191,0.69938,0.36916,1.70267,1.48587,1.62916,0.0017228,0.0017228,0.0017228
16,1275.03,1.82642,1.77596,1.73351,0.84153,0.6764,0.69728,0.34584,1.81325,1.53657,1.61137,0.001703,0.001703,0.001703
17,1352.13,1.83065,1.76085,1.73545,0.90712,0.6382,0.70265,0.38285,1.67118,1.44234,1.59656,0.0016832,0.0016832,0.0016832
18,1429.61,1.819,1.76415,1.73141,0.87907,0.64944,0.69915,0.37067,1.74924,1.54199,1.60142,0.0016634,0.0016634,0.0016634
19,1505.62,1.79915,1.73127,1.70763,0.8729,0.66517,0.70222,0.3632,1.74698,1.4436,1.58873,0.0016436,0.0016436,0.0016436
20,1583.56,1.7869,1.72431,1.70754,0.81517,0.66517,0.68225,0.35547,1.8193,1.43388,1.73689,0.0016238,0.0016238,0.0016238
21,1664.68,1.78489,1.69129,1.70231,0.88504,0.64944,0.69683,0.36511,1.75431,1.44637,1.62775,0.001604,0.001604,0.001604
22,1745,1.76296,1.66778,1.68529,0.91899,0.63734,0.70627,0.40401,1.67882,1.39771,1.58608,0.0015842,0.0015842,0.0015842
23,1820.83,1.76849,1.69937,1.69968,0.89821,0.67865,0.71774,0.38973,1.66826,1.38106,1.56181,0.0015644,0.0015644,0.0015644
24,1895.84,1.75831,1.66708,1.68285,0.88809,0.67766,0.70447,0.36961,1.73236,1.40717,1.58086,0.0015446,0.0015446,0.0015446
25,1970.73,1.75043,1.6458,1.68126,0.88218,0.65169,0.7191,0.41722,1.60132,1.38757,1.52364,0.0015248,0.0015248,0.0015248
26,2046.47,1.73072,1.6248,1.6773,0.86871,0.6764,0.69847,0.37221,1.72767,1.43184,1.62599,0.001505,0.001505,0.001505
